frame_id,timestamp_sec,timestamp_nanosec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
map,1651236801,19013376,-100.86015228714939,49.142693374964985,-0.8881676807341359,0.025091927052044098,-4.154492748107037e-05,0.35091844613271217,0.9360697824599599
map,1651236801,19013376,-100.2393903013513,49.74622784721147,-1.9533672656035712,-0.0025306744232643503,-0.0046660254718755186,0.3607412072502238,0.9326508485413556
map,1651236801,19013376,-100.2393903013513,49.74622784721147,-1.9533672656035712,-0.0025306744232643503,-0.0046660254718755186,0.3607412072502238,0.9326508485413556
map,1651236801,19013376,-100.2393903013513,49.74622784721147,-1.9533672656035712,-0.0025306744232643503,-0.0046660254718755186,0.3607412072502238,0.9326508485413556
map,1651236801,19013376,-100.2393903013513,49.74622784721147,-1.9533672656035712,-0.0025306744232643503,-0.0046660254718755186,0.3607412072502238,0.9326508485413556
map,1651236801,119013376,-100.73968503897403,49.378712183524584,-1.0442054756593606,0.03175206801757792,0.000564854550562037,0.3533748774599774,0.934942609520012
map,1651236801,119013376,-100.73968503897403,49.378712183524584,-1.0442054756593606,0.03175206801757792,0.000564854550562037,0.3533748774599774,0.934942609520012
map,1651236801,189013248,-100.86997296989249,49.305932625501484,-1.0181010486867959,0.05672033093325276,0.0046471624480806314,0.35269297527066024,0.9340068913743265
map,1651236801,189013248,-101.33096703490365,49.288763421241185,-2.085583577440413,0.0003180934720887008,-0.0073068896412905125,0.35822284868404,0.9336074650842314
map,1651236801,189013248,-101.33096703490365,49.288763421241185,-2.085583577440413,0.0003180934720887008,-0.0073068896412905125,0.35822284868404,0.9336074650842314
map,1651236801,279013120,-101.2586345063933,49.25511108726864,-2.0796731559969026,3.540227024209511e-05,-0.007255711636096838,0.3641482472317624,0.9313127334216839
map,1651236801,279013120,-101.25857655588199,49.25499699721516,-2.079723891749902,3.109669173111205e-05,-0.007257499730897762,0.36414898721541683,0.9313124303050175
map,1651236801,399013120,-101.25248332221959,49.12316261837001,-2.0831438064508703,-0.0013989721366611885,-0.007737757222993457,0.36504759469109505,0.9309556507161686
map,1651236801,489012992,-101.2480252396061,49.121602028780295,-2.0828493583769436,-0.0014068359551603243,-0.007731481680151723,0.3651403109575624,0.9309193296507701
map,1651236801,489012992,-100.94718840438647,48.96403247520278,-2.069757637058268,-0.0019043615920725152,-0.007717248641219358,0.3696006463389808,0.9291567035253762
map,1651236801,599012864,-100.87432072430038,48.922871150444514,-2.0634375598799783,-0.002449308715165374,-0.00767225406821139,0.3707920292762196,0.928681004667132
map,1651236801,599012864,-100.87006821360139,48.9205554469556,-2.063296783716384,-0.0024536436590720315,-0.007672018003446628,0.3708565252175853,0.9286552414519005
map,1651236801,689012736,-100.85940399848347,48.91397259611676,-2.062679141426172,-0.002507121449469004,-0.007677348169314516,0.37100218754504377,0.928596871362335
map,1651236801,689012736,-100.85915993194007,48.91372336300468,-2.0626948218965193,-0.0025088058927584377,-0.007678127814836664,0.3710058894608137,0.9285953813322797
map,1651236801,799012608,-100.60085772682046,48.749873844497856,-2.0606657243210376,-0.0034414092658871867,-0.007962706644159353,0.3745181599947738,0.9271790009697658
map,1651236801,799012608,-100.59540829313624,48.749019737521266,-2.060734562926857,0.0034605384662063023,0.007970887358041932,-0.3745565763572738,-0.927163340914516
map,1651236801,799012608,-100.59540829313624,48.749019737521266,-2.060734562926857,0.0034605384662063023,0.007970887358041932,-0.3745565763572738,-0.927163340914516
map,1651236801,889012480,-100.59474702373728,48.74892345086605,-2.060735458334825,0.003463210279145925,0.00797188240348275,-0.3745612056390634,-0.9271614522270211
map,1651236801,979012608,-100.59124408715267,48.74839203905876,-2.0607759977666715,0.0034811206822158366,0.007978858336087462,-0.3745865287355343,-0.9271510945408581
map,1651236801,979012608,-100.58993027975768,48.74818920006219,-2.0607874627200227,0.0034867366479533176,0.007980987197545001,-0.37459666455708057,-0.9271469599872559
map,1651236801,979012608,-100.58993027975768,48.74818920006219,-2.0607874627200227,0.0034867366479533176,0.007980987197545001,-0.37459666455708057,-0.9271469599872559
map,1651236802,119012352,-100.58007224514171,48.74691503245924,-2.0608528442382332,0.00351774833390587,0.007991928278675658,-0.37467215696328654,-0.9271162436962943
map,1651236802,119012352,-100.57992545897828,48.746895563175286,-2.060853725698356,0.00351819159690998,0.007992083818493605,-0.37467330576845675,-0.9271157764101859
map,1651236802,209012224,-100.57977837157408,48.746876221438384,-2.0608546356866118,0.0035186392242243804,0.007992240621804727,-0.3746744599154885,-0.9271153069359226
map,1651236802,209012224,-100.57184466620072,48.745832973838574,-2.060903736344971,0.0035427837060908614,0.008000696963851292,-0.374736712099556,-0.9270899816827485
map,1651236802,299012096,-100.57162608090917,48.74579475055567,-2.060904582310369,0.003543655702419734,0.00800099663400124,-0.3747384686262923,-0.9270892657607176
map,1651236802,389012224,-100.57143021026044,48.74576074757478,-2.060905443736508,0.0035444333799280123,0.008001266039234853,-0.3747400447985345,-0.9270886233571077
map,1651236802,389012224,-99.45027240354241,48.747486129386246,-2.0469503302660934,0.003557962285099053,0.007633959763568798,-0.38901608887317635,-0.9211924588057173
map,1651236802,489011968,-99.46264845953309,48.7063865428831,-2.037716394779496,0.003823413672184898,0.007694936848829764,-0.38913827140364365,-0.9211392810991008
map,1651236802,489011968,-99.46264302632498,48.706233271375474,-2.037822995213856,0.0038218402303341475,0.007694890494104019,-0.3891425131368395,-0.9211374960705282
map,1651236802,619011840,-99.4626374354863,48.706080017172816,-2.03792860376868,0.00382026490895611,0.0076948373195164345,-0.3891466968441964,-0.9211357355948702
