timestamp_sec,timestamp_nanosec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w,deviation
1651236801,9013504,-112.57005310058594,-23.360713958740234,-19.454720973968502,-0.0139170177280902,-0.0092646097764372,-0.9134058356285096,-0.4067067503929138,73.44294283358818
1651236801,9013504,-112.57005310058594,-23.360713958740234,-19.454720973968502,-0.0139170177280902,-0.0092646097764372,-0.9134058356285096,-0.4067067503929138,74.139531865849
1651236801,9013504,-112.57005310058594,-23.360713958740234,-19.454720973968502,-0.0139170177280902,-0.0092646097764372,-0.9134058356285096,-0.4067067503929138,74.139531865849
1651236801,9013504,-112.57005310058594,-23.360713958740234,-19.454720973968502,-0.0139170177280902,-0.0092646097764372,-0.9134058356285096,-0.4067067503929138,74.139531865849
1651236801,9013504,-112.57005310058594,-23.360713958740234,-19.454720973968502,-0.0139170177280902,-0.0092646097764372,-0.9134058356285096,-0.4067067503929138,74.139531865849
1651236801,19013376,-112.57007598876952,-23.360740661621094,-19.45499587059021,-0.0139189418405294,-0.00927977822721,-0.9134055972099304,-0.406706690788269,73.69522474513646
1651236801,19013376,-112.57007598876952,-23.360740661621094,-19.45499587059021,-0.0139189418405294,-0.00927977822721,-0.9134055972099304,-0.406706690788269,73.69522474513646
1651236801,69013248,-112.57014465332033,-23.360828399658203,-19.45469570159912,-0.0138019248843193,-0.0092212269082665,-0.9134076237678528,-0.4067075848579407,73.6026641862192
1651236801,69013248,-112.57014465332033,-23.360828399658203,-19.45469570159912,-0.0138019248843193,-0.0092212269082665,-0.9134076237678528,-0.4067075848579407,73.51382390599478
1651236801,69013248,-112.57014465332033,-23.360828399658203,-19.45469570159912,-0.0138019248843193,-0.0092212269082665,-0.9134076237678528,-0.4067075848579407,73.51382390599478
1651236801,99013376,-112.57015228271484,-23.3608455657959,-19.45365524291992,-0.0136670414358377,-0.0091099794954061,-0.9134102463722228,-0.406708687543869,73.49168384956073
1651236801,99013376,-112.57015228271484,-23.3608455657959,-19.45365524291992,-0.0136670414358377,-0.0091099794954061,-0.9134102463722228,-0.406708687543869,73.49158003853151
1651236801,139013376,-112.5701141357422,-23.360843658447266,-19.451794624328613,-0.0134530439972877,-0.0089122503995895,-0.9134145379066468,-0.4067105948925018,73.36225141834785
1651236801,209013248,-112.57006072998048,-23.36080741882324,-19.448220252990723,-0.0130636934190988,-0.0085172234103083,-0.9134222269058228,-0.4067144393920898,73.36135336112156
1651236801,209013248,-112.57006072998048,-23.36080741882324,-19.448220252990723,-0.0130636934190988,-0.0085172234103083,-0.9134222269058228,-0.4067144393920898,73.25280627248048
1651236801,579012864,-112.5701904296875,-23.36096954345703,-19.43888258934021,-0.0120442826300859,-0.0073627936653792,-0.913440465927124,-0.4067273736000061,73.2239509561368
1651236801,579012864,-112.5701904296875,-23.36096954345703,-19.43888258934021,-0.0120442826300859,-0.0073627936653792,-0.913440465927124,-0.4067273736000061,73.22234436844397
1651236801,649012736,-112.5702896118164,-23.361082077026367,-19.43850874900818,-0.0120025873184204,-0.00731708901003,-0.913441002368927,-0.406728446483612,73.21767798731668
1651236801,649012736,-112.5702896118164,-23.361082077026367,-19.43850874900818,-0.0120025873184204,-0.00731708901003,-0.913441002368927,-0.406728446483612,73.21747100093816
1651236801,739012608,-112.57047271728516,-23.361230850219727,-19.43825745582581,-0.0119756367057561,-0.0072915754280984,-0.913441240787506,-0.406728982925415,73.09776401034766
