frame_id,child_frame_id,timestamp_sec,timestamp_nanosec,position_x,position_y,position_z,orientation_x,orientation_y,orientation_z,orientation_w
odom,base_link,1651236800,539013888,-23.355865478515625,112.56361389160156,-19.052588939666748,0.0,5.381393108905286e-09,-0.913545548915863,-0.4067366123199463
odom,base_link,1651236800,549013760,-23.355865478515625,112.56361389160156,-19.05357003211975,0.0,5.381393108905286e-09,-0.913545548915863,-0.4067366123199463
odom,base_link,1651236800,559013888,-23.355865478515625,112.56361389160156,-19.055531978607178,0.0,5.381393108905286e-09,-0.913545548915863,-0.4067366123199463
odom,base_link,1651236800,569013760,-23.355865478515625,112.56361389160156,-19.05847477912903,0.0,5.381393108905286e-09,-0.913545548915863,-0.4067366123199463
odom,base_link,1651236800,579013888,-23.355865478515625,112.56361389160156,-19.062398672103882,0.0,5.381393108905286e-09,-0.913545548915863,-0.4067366123199463
odom,base_link,1651236800,589013760,-23.355865478515625,112.56361389160156,-19.06730318069458,0.0,5.370523137315786e-09,-0.9135454893112183,-0.4067366123199463
odom,base_link,1651236800,599013888,-23.355865478515625,112.56361389160156,-19.07318902015686,0.0,5.370523137315786e-09,-0.9135454893112183,-0.4067366123199463
odom,base_link,1651236800,609013760,-23.355865478515625,112.56361389160156,-19.080055713653564,0.0,5.370523137315786e-09,-0.9135454893112183,-0.4067366123199463
odom,base_link,1651236800,619013888,-23.355865478515625,112.56361389160156,-19.087903261184692,0.0,5.370523137315786e-09,-0.9135454893112183,-0.4067366123199463
odom,base_link,1651236800,629013760,-23.355865478515625,112.56361389160156,-19.096731662750244,0.0,5.370523137315786e-09,-0.9135454893112183,-0.4067366123199463
odom,base_link,1651236800,639013888,-23.355865478515625,112.56361389160156,-19.10654091835022,0.0,5.370523137315786e-09,-0.9135454893112183,-0.4067366123199463
odom,base_link,1651236800,649013760,-23.355865478515625,112.56361389160156,-19.11733102798462,0.0,5.370523137315786e-09,-0.9135454893112183,-0.4067366123199463
odom,base_link,1651236800,659013632,-23.355865478515625,112.56361389160156,-19.129101991653442,0.0,5.370523137315786e-09,-0.9135454893112183,-0.4067366123199463
odom,base_link,1651236800,749013760,-23.355987548828125,112.56368255615234,-19.279005885124207,-0.001976605271920562,-0.0011523017892614007,-0.9135138988494873,-0.4068010449409485
odom,base_link,1651236800,789013504,-23.357635498046875,112.56610107421875,-19.34790539741516,-0.006643868051469326,-0.0038049202412366867,-0.9135059118270874,-0.40675339102745056
odom,base_link,1651236800,799013632,-23.35796356201172,112.56655883789062,-19.361139059066772,-0.0075490958988666534,-0.004365500994026661,-0.9134990572929382,-0.40674737095832825
odom,base_link,1651236800,839013632,-23.358993530273438,112.56797790527344,-19.40179204940796,-0.01035612728446722,-0.006244069896638393,-0.913468599319458,-0.406729519367218
odom,base_link,1651236800,959013376,-23.36048126220703,112.56982421875,-19.450623273849487,-0.013703010976314545,-0.008995921351015568,-0.913411021232605,-0.4067082703113556
odom,base_link,1651236801,9013504,-23.360713958740234,112.57005310058594,-19.454720973968506,-0.013917017728090286,-0.009264609776437283,-0.9134058356285095,-0.4067067503929138
